neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
,Santa Venerina,Entire home/apt,1954,1,0,,,53,196,0
,Terrasini,Entire home/apt,40,1,11,2023-09-21,0.36,12,0,2
,Lascari,Entire home/apt,78,1,0,,,1,365,0
,Castellammare del Golfo,Entire home/apt,580,7,0,,,2,115,0
,Palermo,Entire home/apt,99,2,17,2023-06-21,0.25,4,362,5
,Siracusa,Private room,85,1,4,2020-08-22,0.09,6,288,0
,Milo,Entire home/apt,75,1,3,2023-09-25,0.72,2,0,3
,Catania,Entire home/apt,56,1,53,2023-09-07,1.14,1,210,5
,Agrigento,Private room,51,1,22,2023-11-06,0.53,3,364,14
,Castelvetrano,Entire home/apt,82,1,0,,,81,364,0
,Trapani,Entire home/apt,200,3,5,2023-10-08,0.77,2,249,5
,Malfa,Entire home/apt,92,5,2,2022-09-14,0.07,50,105,0
,Ragusa,Entire home/apt,69,4,9,2023-09-26,0.30,21,365,3
,San Vito Lo Capo,Entire home/apt,265,7,2,2023-10-21,0.34,37,1,2
,Trapani,Hotel room,261,1,17,2023-06-01,0.16,8,172,1
,Altavilla Milicia,Entire home/apt,87,1,0,,,2,363,0
,Monreale,Entire home/apt,,2,9,2023-09-25,0.22,4,0,1
,Catania,Entire home/apt,120,1,1,2021-08-18,0.03,6,356,0
,Agrigento,Private room,50,2,0,,,2,269,0
,San Vito Lo Capo,Private room,107,1,1,2023-09-05,0.26,2,365,1
,Palermo,Entire home/apt,50,3,29,2023-10-29,1.52,3,350,19
,Siracusa,Private room,20,2,16,2023-02-16,1.03,2,304,3
,Catania,Entire home/apt,40,3,60,2023-10-04,0.59,1,267,5
,Palermo,Entire home/apt,89,1,24,2022-11-14,0.42,5,87,0
,Custonaci,Entire home/apt,174,7,1,2022-09-05,0.06,3,0,0
,Scicli,Entire home/apt,,2,0,,,1,178,0
,Trappeto,Entire home/apt,983,1,0,,,82,355,0
,Castellammare del Golfo,Private room,80,1,75,2023-08-02,0.66,5,365,1
,Palermo,Entire home/apt,91,1,0,,,3,182,0
,Valderice,Entire home/apt,192,2,0,,,4,156,0
,San Vito Lo Capo,Entire home/apt,63,3,1,2022-07-09,0.06,6,337,0
,Noto,Entire home/apt,608,1,0,,,127,0,0
,Palermo,Entire home/apt,142,1,57,2023-12-11,4.32,1,172,50
,Piedimonte Etneo,Entire home/apt,74,3,0,,,6,261,0
,Oliveri,Entire home/apt,,4,0,,,1,0,0
,Rometta,Entire home/apt,40,3,0,,,1,335,0
,Ragalna,Entire home/apt,15,1,22,2023-08-25,0.74,2,272,2
,Palermo,Private room,60,1,3,2022-09-18,0.18,4,267,0
,Pantelleria,Entire home/apt,250,3,0,,,1,364,0
,Siracusa,Private room,55,1,26,2023-08-07,1.45,1,331,3
,Siracusa,Entire home/apt,103,2,0,,,5,347,0
,Santa Marina Salina,Entire home/apt,46,6,3,2016-09-07,0.03,16,260,0
,Gioiosa Marea,Entire home/apt,100,5,8,2022-08-19,0.08,1,363,0
,Giardini-Naxos,Entire home/apt,99,3,1,2023-07-27,0.19,6,241,1
,Siracusa,Entire home/apt,263,3,30,2023-11-05,0.41,1,300,9
,Carini,Private room,47,1,1,2023-09-01,0.25,1,90,1
,Marsala,Private room,95,1,2,2015-08-09,0.02,4,365,0
,Scicli,Entire home/apt,572,4,2,2020-01-26,0.04,67,355,0
,Palermo,Entire home/apt,99,2,1,2019-10-20,0.02,5,52,0
,Pantelleria,Entire home/apt,250,5,11,2023-08-17,0.16,2,166,2
,Santa Croce Camerina,Entire home/apt,120,1,0,,,1,363,0
,Ragusa,Entire home/apt,,3,1,2019-04-28,0.02,1,0,0
,Alcamo,Entire home/apt,48,3,2,2020-11-05,0.04,2,352,0
,Marsala,Private room,65,2,2,2021-08-20,0.07,3,0,0
,Caccamo,Entire home/apt,39,1,21,2023-08-26,0.49,2,344,3
,Palermo,Private room,45,1,22,2023-11-05,1.15,4,253,8
,Trapani,Entire home/apt,40,2,5,2023-09-01,1.01,2,243,5
,Castellammare del Golfo,Entire home/apt,90,5,16,2023-10-02,0.21,2,0,6
,Catania,Private room,56,1,0,,,6,268,0
,Castelvetrano,Entire home/apt,91,3,13,2023-10-02,0.32,1,179,10
,Ispica,Entire home/apt,90,2,0,,,8,0,0
,Palermo,Private room,50,3,1,2022-07-08,0.06,1,365,0
,Realmonte,Private room,51,1,0,,,4,33,0
,Catania,Entire home/apt,54,3,24,2023-09-27,0.33,4,362,2
,Siracusa,Entire home/apt,45,1,1,2023-07-30,0.20,200,365,1
,Erice,Private room,100,2,6,2023-08-18,0.11,2,148,2
,Siracusa,Entire home/apt,116,1,0,,,1,90,0
,Castelvetrano,Entire home/apt,40,2,4,2022-08-27,0.04,1,364,0
,Favignana,Entire home/apt,110,2,14,2023-09-10,0.22,2,365,3
,Castellammare del Golfo,Private room,120,1,0,,,7,365,0
,Castellammare del Golfo,Private room,48,2,0,,,3,179,0
,Floridia,Entire home/apt,145,1,0,,,19,2,0
,Castellammare del Golfo,Entire home/apt,259,3,16,2023-08-26,0.30,6,365,9
,Nicolosi,Entire home/apt,43,2,64,2023-07-31,0.55,4,335,3
,Palermo,Private room,28,1,56,2023-11-21,2.70,2,304,41
,Cinisi,Private room,67,1,7,2023-09-07,0.41,3,323,4
,Cinisi,Entire home/apt,94,1,0,,,1,364,0
,San Vito Lo Capo,Entire home/apt,290,7,13,2023-09-09,0.20,3,223,7
,Palermo,Private room,32,2,27,2023-12-24,2.68,1,349,27
,Augusta,Entire home/apt,70,7,0,,,1,178,0
,Gioiosa Marea,Entire home/apt,88,3,9,2023-08-19,0.07,7,365,1
,Furci Siculo,Entire home/apt,60,14,1,2022-07-30,0.06,5,178,0
,Palermo,Entire home/apt,40,2,37,2023-12-23,0.76,2,332,10
,Isola delle Femmine,Entire home/apt,120,2,2,2022-07-31,0.11,5,230,0
,Modica,Entire home/apt,86,1,0,,,9,343,0
,Catania,Private room,71,1,0,,,4,363,0
,Siracusa,Private room,52,3,0,,,5,237,0
,Mascalucia,Entire home/apt,92,1,5,2023-12-02,1.39,1,242,5
,Custonaci,Entire home/apt,189,5,1,2021-10-30,0.04,4,358,0
,Noto,Entire home/apt,200,2,28,2023-08-13,0.28,6,159,1
,Avola,Private room,35,5,4,2023-08-12,0.24,3,299,1
,Catania,Entire home/apt,111,2,1,2022-11-12,0.07,1,363,0
,Taormina,Entire home/apt,210,2,17,2023-11-26,2.52,2,0,17
,Patti,Entire home/apt,31,7,0,,,1,362,0
,Scicli,Entire home/apt,170,7,1,2018-06-17,0.01,1,273,0
,Pantelleria,Entire home/apt,80,5,20,2023-08-13,0.19,1,201,2
,Santa Marina Salina,Entire home/apt,260,5,0,,,50,1,0
,Lipari,Entire home/apt,135,1,0,,,68,364,0
,Erice,Private room,61,2,0,,,5,243,0
,Pantelleria,Entire home/apt,42,4,67,2023-09-24,0.59,1,339,6
,Custonaci,Entire home/apt,120,2,1,2022-08-17,0.06,3,365,0
,Castelmola,Entire home/apt,530,1,0,,,94,177,0
,Catania,Entire home/apt,74,3,4,2023-07-30,0.22,79,2,1
,Favignana,Entire home/apt,50,1,12,2023-10-31,1.44,1,215,12
,Savoca,Entire home/apt,346,1,3,2023-09-28,0.44,55,103,3
,Erice,Entire home/apt,56,2,32,2023-10-16,0.28,4,2,7
,Palermo,Entire home/apt,60,1,1,2023-10-16,0.39,241,359,1
,Biancavilla,Private room,30,2,3,2023-05-12,0.09,1,152,1
,Casteldaccia,Entire home/apt,40,3,1,2017-06-30,0.01,1,178,0
,Caltagirone,Private room,93,1,7,2023-05-23,0.29,6,345,2
,Palermo,Entire home/apt,125,2,99,2023-11-18,3.41,2,338,42
,Menfi,Entire home/apt,55,6,0,,,3,272,0
,Custonaci,Entire home/apt,43,3,7,2023-08-13,0.08,1,269,2
,Campofelice di Roccella,Private room,36,3,2,2021-08-31,0.04,7,363,0
,Rosolini,Entire home/apt,449,1,4,2023-08-19,0.04,21,183,1
,San Vito Lo Capo,Private room,80,2,1,2016-08-15,0.01,3,90,0
,Palermo,Entire home/apt,76,2,0,,,3,203,0
,Noto,Entire home/apt,75,5,1,2022-09-04,0.06,2,329,0
,Ispica,Entire home/apt,60,6,1,2022-07-02,0.05,1,180,0
,Palermo,Private room,75,2,3,2022-09-21,0.18,4,270,0
,Porto Empedocle,Private room,48,1,9,2023-12-23,1.43,4,359,9
,Bagheria,Private room,50,1,2,2023-08-05,0.34,1,176,2
,Ragusa,Entire home/apt,,1,4,2020-01-01,0.07,1,0,0
,Palermo,Entire home/apt,45,3,18,2018-12-05,0.20,1,0,0
,Palermo,Private room,26,2,31,2023-07-28,0.31,7,20,7
,Catania,Entire home/apt,70,1,1,2022-08-10,0.06,14,0,0
,Castellammare del Golfo,Entire home/apt,199,5,2,2023-10-05,0.61,1,249,2
,Palazzolo Acreide,Private room,76,2,1,2018-08-17,0.02,2,356,0
,Noto,Entire home/apt,111,5,2,2019-08-24,0.04,1,273,0
,San Vito Lo Capo,Entire home/apt,,5,12,2023-09-12,0.18,1,0,4
,Agrigento,Entire home/apt,83,1,53,2023-10-27,1.30,1,178,22
,Giardini-Naxos,Entire home/apt,87,3,0,,,95,341,0
,San Vito Lo Capo,Private room,34,1,20,2019-07-01,0.17,4,48,0
,Lampedusa e Linosa,Entire home/apt,110,2,2,2022-10-06,0.11,3,342,0
,Gela,Entire home/apt,,2,1,2021-08-22,0.03,1,0,0
,Palermo,Entire home/apt,55,3,45,2023-10-25,2.17,1,348,20
,Palermo,Entire home/apt,105,2,88,2023-12-09,4.66,1,0,57
,Castelvetrano,Entire home/apt,80,1,2,2023-06-02,0.12,8,0,1
,Letojanni,Entire home/apt,1603,7,0,,,67,222,0
,Letojanni,Entire home/apt,500,1,8,2023-10-19,0.99,1,168,8
,Valderice,Entire home/apt,89,2,4,2023-07-16,0.14,6,244,2
