city,house_type,adjusted_occupancy_rate,adj_airbnb_yroi,rent_yroi,roi_ratio,house_price,annual_airbnb_rent,adj_airbnb_new,annual_rent,service_cost,service_cost_new,local_annual_taxes,price_per_night,buy_eur_m2,rent_eur_m2,house_size,number_airbnb_house,airbnb_yroi_original
Furnari,3BR_2BT,0.348180121325245,0.3531255038487601,0.08590483619344774,4.1106591840017295,129482,62312.8,49309.2687820812,13065.36,18880.7784,1643.64229273604,1942.23,388,1282,10.78,101,10,0.32042902951761637
Castel di Iudica,1BR_1BT,0.28042463835744286,0.19882228800080753,0.10543165467625899,1.885793110345428,23908,8297.666666666666,5288.34130502411,2879.2799999999997,2514.1929999999998,176.27804350080365,358.62,51.666666666666664,556,5.58,43,3,0.22690537337571803
Aidone,5BR_3BT,0.26278581427904807,0.5187505937260091,0.15273841961852863,3.3963333850226616,52114,48180,28775.046663555764,8741.52,14598.539999999999,959.1682221185255,781.7099999999999,300,367,5.13,142,1,0.6293846183367233
Riesi,2BR_2BT,0.2727718152123192,0.19521054888224626,0.13082278481012657,1.4921754583161544,40290,14132.8,8761.430704619692,5875.2,4282.238399999999,292.0476901539897,604.35,88,474,5.76,85,2,0.22949147679324897
Ravanusa,4BR_2BT,0.2712785814279048,0.16362151708869055,0.15032751091703056,1.0884336213016743,53586,16060,9901.668222118524,8859.24,4866.18,330.0556074039508,803.79,100,458,6.31,117,1,0.19389448736610307
Ragusa,5BR_4BT,0.3169155389640691,0.4274933240488803,0.08535902851108765,5.008179351447883,142997,90879.525,65457.1219231218,14351.04,27536.496075,2181.90406410406,2144.955,565.875,947,7.92,151,8,0.42796753725602626
Mascalucia,3BR_5.5BT,0.35125991600559964,0.23395715595508912,0.04595817490494296,5.0906537615776,174237.5,56210,44873.45426971535,10621.199999999999,17031.63,1495.7818089905118,2613.5625,350,1315,6.68,132.5,1,0.20985613028194272
Cefalù,5BR_2.5BT,0.4606392907139524,0.11807918556547498,0.03267189384800965,3.6140906344389423,341962.5,44968,47077.33551096593,16302,13625.304,1569.2445170321978,5129.4375,280,2487,9.88,137.5,1,0.07665535987133092
Taormina,1BR_3BT,0.49937004199720014,0.36222812005114197,0.04301516195727084,8.420940514206634,177022,60867.4,69080.35475968268,10269.96,18442.8222,2302.6784919894226,2655.33,379,2902,14.03,61,1,0.22465709233880532
Racalmuto,5BR_3BT,0.28565095660289314,0.1502648098395668,0.07833333333333332,1.9182741681646829,86904,22885.5,14857.42038030798,8111.039999999999,6934.3065,495.24734601026597,1303.56,142.5,612,4.76,142,2,0.16854958920187796
